,AGE,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,HEIGHT,LOSES,MIN,NUM,OREB,PF,PLAYER,PLAYER_ID,PLUS_MINUS,POSITION,PTS,REB,SEASON,STL,TOV,TeamID,Unnamed: 0,WEIGHT,WINS,WL
14,30.0,1.173913043478261,0.18840579710144928,2.5362318840579707,8,2.7971014492753623,0.7681159420289855,0.25382608695652176,8.08695652173913,3.188405797101449,0.3935217391304349,2.4347826086956523,2.101449275362319,0.6328405797101448,69.0,6-9,43.0,22.18840579710145,34,0.5652173913043478,1.4927536231884058,Jeff Green,201145,-4.2898550724637685,F,9.246376811594203,3.101449275362319,2016,0.5362318840579711,1.0869565217391304,1610612753,14,235,26.0,
0,30.0,0.631578947368421,0.32894736842105265,2.6184210526315788,11,5.38157894736842,2.223684210526316,0.3881710526315788,8.513157894736842,3.697368421052632,0.4195789473684213,1.2236842105263157,1.1052631578947372,0.4561315789473684,76.0,6-6,37.0,23.407894736842106,0,0.3947368421052632,1.9868421052631582,CJ Miles,101139,1.0,F-G,10.723684210526317,3.013157894736842,2016,0.6052631578947368,0.5263157894736842,1610612754,0,225,39.0,
1,32.0,1.9230769230769231,0.13846153846153847,0.7846153846153846,8,1.9692307692307691,0.7384615384615385,0.2730615384615384,4.615384615384615,1.8615384615384616,0.32903076923076924,0.6153846153846154,0.4923076923076923,0.24615384615384614,65.0,6-0,29.0,13.738461538461538,0,0.2769230769230769,1.4307692307692308,Aaron Brooks,201166,-0.5076923076923077,G,4.953846153846154,1.0615384615384615,2016,0.38461538461538464,1.015384615384615,1610612754,1,161,36.0,
2,27.0,0.4693877551020408,0.4081632653061225,2.061224489795918,6,0.040816326530612235,0.0,0.0,4.040816326530612,2.224489795918368,0.4830612244897961,0.4489795918367347,0.2857142857142857,0.11428571428571427,49.0,6-10,26.0,11.448979591836734,1,0.8367346938775511,1.3469387755102042,Kevin Seraphin,202338,-2.061224489795918,F-C,4.7346938775510194,2.897959183673469,2016,0.14285714285714285,0.5918367346938775,1610612754,2,278,23.0,
4,28.0,0.9344262295081968,0.3934426229508197,1.8688524590163933,5,0.016393442622950817,0.0,0.0,2.7540983606557377,1.2622950819672132,0.3563770491803279,0.5409836065573771,0.3770491803278688,0.18442622950819676,61.0,6-9,30.0,14.229508196721312,5,1.721311475409836,1.278688524590164,Lavoy Allen,202730,-2.0327868852459017,F-C,2.901639344262295,3.5901639344262297,2016,0.29508196721311475,0.4754098360655738,1610612754,4,260,31.0,
6,32.0,0.8636363636363636,0.24242424242424246,3.075757575757576,12,0.015151515151515154,0.0,0.0,7.136363636363638,3.560606060606061,0.4745454545454545,1.2878787878787878,0.9848484848484848,0.3630151515151516,66.0,6-10,33.0,14.12121212121212,7,1.1363636363636365,1.893939393939394,Al Jefferson,2744,-1.5,C,8.106060606060606,4.212121212121212,2016,0.2878787878787879,0.5,1610612754,6,289,33.0,
7,31.0,3.189189189189189,0.3648648648648649,2.5,11,1.8243243243243243,0.581081081081081,0.24727027027027024,7.527027027027027,3.3378378378378377,0.4282027027027028,1.7297297297297298,1.2567567567567568,0.4285405405405405,74.0,6-3,35.0,26.986486486486488,11,0.25675675675675674,2.0135135135135136,Monta Ellis,101145,-0.945945945945946,G,8.513513513513514,2.756756756756757,2016,1.054054054054054,1.8243243243243243,1610612754,7,185,39.0,
8,27.0,3.3466666666666667,0.36,5.786666666666667,6,6.613333333333332,2.6,0.3871999999999999,17.973333333333333,8.293333333333333,0.4561466666666668,4.986666666666666,4.48,0.8367466666666665,75.0,6-9,36.0,35.82666666666667,13,0.7733333333333333,2.7466666666666666,Paul George,202331,2.2533333333333334,F,23.66666666666667,6.56,2016,1.586666666666667,2.933333333333333,1610612754,8,220,39.0,
9,29.0,1.648648648648649,0.3918918918918919,4.283783783783784,9,1.5945945945945943,0.6081081081081081,0.2380675675675676,9.283783783783782,4.891891891891891,0.515689189189189,1.162162162162162,0.6081081081081081,0.2376081081081081,74.0,6-8,34.0,30.283783783783782,21,1.7702702702702702,1.8243243243243243,Thaddeus Young,201152,0.8513513513513513,F,11.0,6.054054054054054,2016,1.5270270270270268,1.2837837837837838,1610612754,9,221,40.0,
12,21.0,1.308641975308642,2.123456790123457,5.5555555555555545,1,1.4197530864197532,0.4938271604938271,0.2755432098765432,10.728395061728396,5.481481481481482,0.5051604938271604,3.7407407407407414,3.0246913580246915,0.7071234567901235,81.0,6-11,39.0,31.395061728395067,33,1.7160493827160497,3.2345679012345685,Myles Turner,1626167,1.7777777777777777,C,14.481481481481481,7.271604938271606,2016,0.9135802469135802,1.2962962962962965,1610612754,12,243,42.0,
