,Unnamed: 0,PLAYER,POSITION,SEASON,GP,MIN,PTS,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,HEIGHT,LOSES,NUM,OREB,PF,PLAYER_ID,PLUS_MINUS,REB,STL,TOV,TeamID,WEIGHT,WINS,AGE
2150,2150,Rajon Rondo,G,2012,38.0,37.39473684210526,13.73684210526316,11.052631578947368,0.2368421052631579,4.447368421052632,6,1.3157894736842106,0.3157894736842105,0.14036842105263156,12.23684210526316,5.921052631578947,0.4812105263157895,2.4473684210526314,1.5789473684210529,0.3782368421052632,6-1,20.0,9.0,1.131578947368421,2.526315789473684,200765,-1.4736842105263157,5.57894736842105,1.8421052631578947,3.8947368421052633,1610612738,186,18.0,27.0
2151,2151,Courtney Lee,G,2012,78.0,24.89743589743589,7.846153846153848,1.8333333333333333,0.2692307692307692,2.0384615384615383,4,2.0,0.7435897435897436,0.30211538461538456,6.7948717948717965,3.1538461538461537,0.45016666666666655,0.9230769230769232,0.7948717948717948,0.30555128205128196,6-5,38.0,11.0,0.3974358974358974,1.7820512820512822,201584,-1.205128205128205,2.435897435897436,1.1410256410256407,1.0769230769230769,1610612738,200,40.0,27.0
2154,2154,Jordan Crawford,G,2012,70.0,24.457142857142852,11.628571428571426,3.2142857142857144,0.1,2.357142857142857,2,3.5142857142857142,1.1857142857142855,0.2902714285714286,10.357142857142858,4.3,0.4034571428571428,2.271428571428572,1.8428571428571427,0.5042428571428571,6-4,47.0,27.0,0.6285714285714286,1.5142857142857142,202348,-2.3857142857142857,2.9857142857142858,0.5571428571428572,2.0142857142857142,1610612738,195,23.0,24.0
2155,2155,Brandon Bass,F,2012,81.0,27.65432098765432,8.654320987654321,1.037037037037037,0.7901234567901234,3.6543209876543212,7,0.02469135802469136,0.0,0.0,7.271604938271606,3.5308641975308643,0.4786913580246915,1.851851851851852,1.5925925925925926,0.5107901234567902,6-8,40.0,30.0,1.5925925925925926,2.320987654320988,101138,-2.1728395061728394,5.246913580246914,0.5432098765432098,0.9876543209876544,1610612738,250,41.0,28.0
2156,2156,Paul Pierce,F,2012,77.0,33.467532467532465,18.571428571428573,4.805194805194804,0.3896103896103896,5.7402597402597415,14,4.961038961038961,1.8831168831168832,0.36506493506493504,14.181818181818182,6.1818181818181825,0.4409610389610389,5.493506493506493,4.324675324675325,0.7447012987012986,6-7,36.0,34.0,0.5844155844155844,2.727272727272727,1718,1.5844155844155845,6.324675324675325,1.0909090909090908,2.7792207792207795,1610612738,235,41.0,35.0
2160,2160,CJ Miles,G,2012,65.0,20.96923076923077,11.215384615384616,0.9692307692307692,0.26153846153846155,2.3076923076923075,7,5.046153846153846,1.9384615384615385,0.36552307692307695,9.446153846153846,3.9230769230769234,0.40692307692307705,1.646153846153846,1.4307692307692308,0.5256461538461539,6-6,46.0,0.0,0.3692307692307693,2.123076923076923,101139,-1.3384615384615384,2.6769230769230767,0.7538461538461538,1.0615384615384615,1610612739,222,19.0,26.0
2161,2161,Daniel Gibson,G,2012,46.0,20.065217391304348,5.434782608695652,1.7826086956521738,0.08695652173913042,1.1956521739130437,6,3.5434782608695654,1.2173913043478262,0.29313043478260875,5.369565217391305,1.826086956521739,0.32110869565217404,0.8043478260869565,0.5652173913043478,0.2282608695652173,6-2,35.0,1.0,0.10869565217391304,1.9347826086956519,200789,-4.413043478260869,1.3043478260869563,0.6521739130434783,0.6739130434782609,1610612739,200,11.0,27.0
2162,2162,Kyrie Irving,G,2012,59.0,34.71186440677966,22.45762711864407,5.932203389830509,0.3559322033898305,3.0847457627118646,1,4.728813559322034,1.847457627118644,0.36808474576271183,18.135593220338983,8.203389830508474,0.44554237288135584,4.915254237288137,4.203389830508475,0.8046949152542373,6-3,40.0,2.0,0.576271186440678,2.4745762711864407,202681,-2.9661016949152543,3.6610169491525424,1.5084745762711864,3.23728813559322,1610612739,191,19.0,21.0
2163,2163,Dion Waiters,G,2012,61.0,28.80327868852459,14.655737704918034,3.0,0.26229508196721313,2.0819672131147544,R,3.3278688524590163,1.0327868852459017,0.26039344262295083,13.36065573770492,5.508196721311475,0.408934426229508,3.4918032786885247,2.6065573770491803,0.5982786885245902,6-4,41.0,3.0,0.3606557377049181,1.8524590163934431,203079,-2.557377049180328,2.442622950819672,0.9672131147540984,1.9836065573770487,1610612739,215,20.0,21.0
2164,2164,Luke Walton,F,2012,50.0,17.1,3.44,3.32,0.26,2.14,9,1.34,0.4,0.22164,3.62,1.42,0.34465999999999997,0.4,0.2,0.10665999999999999,6-8,34.0,4.0,0.76,1.96,2575,-1.08,2.9,0.84,1.2,1610612739,235,16.0,33.0
2166,2166,Tristan Thompson,F,2012,82.0,31.304878048780488,11.670731707317074,1.3170731707317074,0.8658536585365854,5.695121951219512,1,0.03658536585365853,0.0,0.0,9.74390243902439,4.7560975609756095,0.4852439024390244,3.5487804878048776,2.158536585365854,0.5012317073170731,6-9,58.0,13.0,3.731707317073171,2.8536585365853657,202684,-2.8414634146341466,9.426829268292684,0.7317073170731707,1.5,1610612739,227,24.0,22.0
2167,2167,Shaun Livingston,G,2012,66.0,22.01515151515152,6.3181818181818175,3.2575757575757582,0.4696969696969697,1.9242424242424243,8,0.060606060606060615,0.0,0.0,5.242424242424242,2.515151515151515,0.4433333333333333,1.4848484848484849,1.2878787878787878,0.4313181818181818,6-7,46.0,14.0,0.4696969696969697,1.9242424242424243,2733,-1.818181818181818,2.393939393939394,0.7272727272727273,1.1515151515151516,1610612739,175,20.0,27.0
2168,2168,Marreese Speights,F-C,2012,79.0,16.39240506329114,8.329113924050633,0.5949367088607594,0.6708860759493671,3.0379746835443036,4,0.12658227848101267,0.0379746835443038,0.03164556962025317,7.3924050632911396,3.2911392405063293,0.4036962025316457,2.2151898734177213,1.7088607594936709,0.4672911392405063,6-10,40.0,15.0,1.8481012658227849,2.2151898734177213,201578,-1.873417721518988,4.886075949367089,0.3037974683544304,1.0126582278481011,1610612739,255,39.0,25.0
2171,2171,Wayne Ellington,G,2012,78.0,21.2948717948718,7.871794871794871,1.3333333333333333,0.038461538461538464,1.807692307692308,3,3.0769230769230766,1.205128205128205,0.3000897435897437,6.782051282051282,2.8974358974358974,0.3886794871794872,0.9615384615384616,0.8717948717948718,0.3365384615384616,6-4,39.0,21.0,0.3205128205128205,1.0384615384615383,201961,0.2435897435897436,2.128205128205128,0.5769230769230769,0.7307692307692307,1610612739,200,39.0,25.0
2172,2172,Alonzo Gee,F,2012,82.0,30.951219512195124,10.268292682926827,1.6219512195121952,0.35365853658536583,2.9878048780487805,3,2.6707317073170733,0.8414634146341463,0.2606829268292684,9.073170731707316,3.719512195121952,0.4095365853658537,2.5,1.9878048780487805,0.5837195121951219,6-6,58.0,33.0,0.9146341463414634,2.426829268292683,202087,-4.243902439024391,3.902439024390244,1.304878048780488,1.6097560975609757,1610612739,219,24.0,26.0
2174,2174,Tyler Zeller,C-F,2012,77.0,26.311688311688307,7.922077922077923,1.2467532467532467,0.9090909090909092,3.623376623376624,R,0.05194805194805195,0.0,0.0,7.259740259740258,3.1818181818181817,0.4197272727272728,2.03896103896104,1.5584415584415583,0.4857142857142857,7-0,53.0,40.0,2.064935064935065,3.25974025974026,203092,-3.3766233766233764,5.688311688311687,0.4545454545454545,1.2337662337662338,1610612739,250,24.0,23.0
2175,2175,Al-Farouq Aminu,F,2012,76.0,27.197368421052627,7.302631578947367,1.3552631578947372,0.6710526315789473,5.86842105263158,2,0.25,0.05263157894736842,0.046052631578947366,6.2368421052631575,2.960526315789473,0.4487631578947369,1.8026315789473684,1.3289473684210529,0.4189605263157896,6-9,51.0,0.0,1.8289473684210529,2.013157894736842,202329,-1.0263157894736843,7.697368421052633,1.2105263157894737,1.5263157894736843,1610612740,215,25.0,22.0
2178,2178,Roger Mason Jr.,G,2012,69.0,17.71014492753623,5.3478260869565215,1.072463768115942,0.15942028985507245,1.7536231884057971,9,2.3043478260869565,0.9565217391304348,0.3450434782608696,4.420289855072464,1.9130434782608696,0.3635507246376811,0.6231884057971014,0.5652173913043478,0.3333478260869565,6-5,49.0,8.0,0.15942028985507245,1.5072463768115942,2427,-0.014492753623188406,1.9130434782608696,0.37681159420289856,0.7391304347826086,1610612740,205,20.0,32.0
2179,2179,Eric Gordon,G,2012,42.0,30.16666666666667,16.976190476190474,3.261904761904762,0.19047619047619047,1.5952380952380951,4,4.119047619047619,1.3333333333333333,0.3035714285714285,13.904761904761903,5.595238095238094,0.4115238095238096,5.285714285714286,4.4523809523809526,0.7813333333333332,6-3,26.0,10.0,0.2380952380952381,1.7857142857142858,201569,-0.8571428571428571,1.8333333333333333,1.0714285714285714,2.7857142857142856,1610612740,215,16.0,24.0
2181,2181,Jason Smith,F-C,2012,51.0,17.15686274509804,8.235294117647058,0.6666666666666666,0.8823529411764706,2.392156862745098,4,0.0784313725490196,0.0,0.0,6.686274509803924,3.2745098039215685,0.4708431372549021,2.0,1.6862745098039216,0.4446078431372549,7-0,32.0,14.0,1.2549019607843137,2.411764705882353,201160,-1.3725490196078431,3.647058823529412,0.29411764705882354,1.0784313725490196,1610612740,240,19.0,27.0
2182,2182,Robin Lopez,C,2012,82.0,26.04878048780488,11.329268292682926,0.7804878048780488,1.5609756097560976,2.8780487804878048,4,0.0,0.0,0.0,8.768292682926829,4.682926829268292,0.5293902439024389,2.524390243902439,1.9634146341463408,0.5126219512195122,7-0,55.0,15.0,2.7560975609756087,2.0365853658536586,201577,-1.7560975609756098,5.634146341463414,0.3902439024390244,1.3414634146341464,1610612740,255,27.0,25.0
2184,2184,Greivis Vasquez,G,2012,78.0,34.42307692307692,13.884615384615385,9.025641025641026,0.07692307692307693,3.7692307692307687,2,3.1153846153846154,1.064102564102564,0.3139743589743589,12.974358974358973,5.615384615384616,0.4218589743589742,1.9743589743589745,1.5897435897435896,0.5692435897435897,6-6,52.0,21.0,0.5512820512820513,2.435897435897436,202349,-2.371794871794872,4.32051282051282,0.8461538461538461,3.1666666666666665,1610612740,211,26.0,26.0
2185,2185,Brian Roberts,G,2012,78.0,17.03846153846154,7.115384615384616,2.8076923076923075,0.038461538461538464,1.0256410256410255,R,1.9615384615384608,0.7564102564102564,0.3324615384615384,6.551282051282049,2.730769230769231,0.3893589743589742,0.9871794871794872,0.8974358974358975,0.3835512820512821,6-1,52.0,22.0,0.21794871794871795,1.3846153846153846,203148,-2.2051282051282053,1.2435897435897436,0.4743589743589744,0.9102564102564102,1610612740,180,26.0,27.0
2186,2186,Anthony Davis,F-C,2012,64.0,28.875,13.546875,0.984375,1.75,5.578125,R,0.09375,0.0,0.0,10.5625,5.453125,0.5168437499999999,3.515625,2.640625,0.6215468749999999,6-10,41.0,23.0,2.578125,2.46875,203076,-2.453125,8.15625,1.171875,1.390625,1610612740,220,23.0,20.0
