,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS,PLAYOFFS
21,By Year,1996-97,82,15,67,0.183,4111.0,100.8,108.8,-8.0,0.584,1.34,16.2,0.294,0.685,0.475,0.164,0.474,0.52,95.24,0.434,1,22,22,22,1,14,22,22,16,17,19,4,21,19,16,18,17,10,22,210,1996-97,0
0,By Year,2017-18,69,40,29,0.58,3322.0,110.0,109.5,0.5,0.585,1.68,17.8,0.195,0.767,0.485,0.139,0.547,0.583,100.12,0.499,20,12,5,8,20,2,22,11,14,1,4,22,3,20,3,2,1,1,11,210,2017-18,0
1,By Year,2016-17,82,51,31,0.622,3976.0,110.9,108.0,2.9,0.567,1.66,17.2,0.219,0.758,0.497,0.137,0.547,0.58,98.38,0.51,1,5,7,5,3,1,20,7,18,3,10,21,6,16,1,1,2,3,8,210,2016-17,1
2,By Year,2015-16,82,57,25,0.695,3971.0,108.1,102.3,5.8,0.587,1.67,17.5,0.251,0.785,0.52,0.141,0.524,0.558,95.48,0.528,1,3,3,3,6,5,10,3,13,2,8,18,1,5,4,4,5,7,3,210,2015-16,1
3,By Year,2014-15,82,53,29,0.646,3956.0,107.7,104.1,3.7,0.587,1.55,17.2,0.268,0.747,0.511,0.149,0.52,0.557,94.78,0.514,1,4,5,4,15,6,15,5,12,8,11,16,9,10,10,5,6,9,6,210,2014-15,1
4,By Year,2013-14,82,33,49,0.402,3986.0,101.3,104.8,-3.5,0.572,1.49,16.3,0.272,0.758,0.509,0.146,0.479,0.518,95.68,0.469,1,14,16,15,2,13,16,17,17,9,17,15,7,12,5,11,14,5,17,210,2013-14,0
5,By Year,2012-13,82,24,58,0.293,3946.0,100.8,106.9,-6.1,0.566,1.47,16.1,0.281,0.726,0.493,0.146,0.473,0.514,94.95,0.45,1,18,20,20,19,14,19,19,19,12,18,12,15,19,6,14,18,8,19,210,2012-13,0
6,By Year,2011-12,66,21,45,0.318,3193.0,98.1,106.0,-7.9,0.579,1.29,15.6,0.289,0.722,0.497,0.162,0.463,0.505,93.96,0.439,21,20,14,19,21,18,18,20,15,20,21,10,16,17,16,19,20,10,21,210,2011-12,0
7,By Year,2010-11,82,19,63,0.232,3951.0,99.5,109.1,-9.6,0.596,1.48,16.5,0.242,0.733,0.481,0.148,0.472,0.518,95.52,0.441,1,21,21,21,18,15,21,21,9,11,14,20,11,21,8,15,16,6,20,210,2010-11,0
8,By Year,2009-10,82,61,21,0.744,3956.0,108.8,101.5,7.3,0.592,1.61,17.8,0.251,0.772,0.524,0.148,0.532,0.57,93.54,0.552,1,2,2,2,16,4,8,2,10,5,5,19,2,2,7,3,3,13,2,210,2009-10,1
9,By Year,2008-09,82,66,16,0.805,3956.0,109.7,99.4,10.3,0.55,1.59,16.6,0.277,0.746,0.52,0.139,0.519,0.56,91.22,0.559,1,1,1,1,17,3,5,1,21,6,13,14,10,4,2,6,4,20,1,210,2008-09,1
10,By Year,2007-08,82,45,37,0.549,3971.0,103.2,103.7,-0.5,0.558,1.43,15.8,0.304,0.759,0.524,0.15,0.48,0.52,92.52,0.49,1,9,11,10,10,8,14,12,20,15,20,4,4,1,12,10,13,18,14,210,2007-08,1
11,By Year,2006-07,82,50,32,0.61,3976.0,102.6,98.9,3.7,0.574,1.45,16.3,0.297,0.758,0.522,0.152,0.484,0.522,93.2,0.52,1,6,8,6,3,10,3,4,16,13,15,7,5,3,13,9,11,14,5,210,2006-07,1
12,By Year,2005-06,82,50,32,0.61,3966.0,105.2,102.6,2.5,0.536,1.37,15.4,0.284,0.757,0.518,0.149,0.492,0.538,92.16,0.51,1,6,8,6,11,7,12,9,22,17,22,11,8,7,11,8,7,19,9,210,2005-06,1
13,By Year,2004-05,82,42,40,0.512,3971.0,103.2,102.5,0.7,0.619,1.62,17.4,0.325,0.715,0.515,0.149,0.47,0.518,92.62,0.51,1,10,12,11,5,9,11,10,6,4,9,1,18,9,9,16,15,16,10,210,2004-05,0
14,By Year,2003-04,82,35,47,0.427,3971.0,98.4,101.3,-2.9,0.619,1.49,16.9,0.311,0.73,0.52,0.157,0.451,0.498,93.55,0.491,1,13,15,14,6,17,7,14,7,10,12,2,13,6,15,21,21,12,13,210,2003-04,0
15,By Year,2002-03,82,17,65,0.207,3966.0,93.5,103.6,-10.1,0.601,1.14,15.8,0.31,0.732,0.517,0.187,0.444,0.491,96.86,0.431,1,22,22,22,11,22,13,22,8,22,19,3,12,8,22,22,22,4,22,210,2002-03,0
16,By Year,2001-02,82,29,53,0.354,3971.0,101.7,105.0,-3.3,0.641,1.58,17.9,0.289,0.728,0.51,0.156,0.477,0.524,92.96,0.482,1,17,19,18,6,12,17,16,4,7,3,9,14,11,14,13,10,15,15,210,2001-02,0
17,By Year,2000-01,82,30,52,0.366,3966.0,97.4,102.0,-4.6,0.591,1.27,16.3,0.297,0.711,0.505,0.174,0.459,0.509,93.92,0.469,1,16,18,17,11,20,9,18,11,21,16,6,20,14,18,20,19,11,18,210,2000-01,0
18,By Year,1999-00,82,32,50,0.39,3971.0,97.9,100.9,-3.0,0.652,1.36,17.5,0.281,0.712,0.494,0.176,0.468,0.516,98.42,0.475,1,15,17,16,6,19,6,15,3,18,7,13,19,18,20,17,17,2,16,210,1999-00,0
19,By Year,1998-99,50,22,28,0.44,2410.0,96.7,98.5,-1.9,0.7,1.39,18.1,0.251,0.69,0.473,0.176,0.464,0.52,89.07,0.493,22,19,4,13,22,21,2,13,1,16,1,17,22,22,19,18,12,21,12,210,1998-99,0
20,By Year,1997-98,82,47,35,0.573,3966.0,99.3,96.0,3.3,0.672,1.33,18.1,0.3,0.711,0.508,0.186,0.478,0.529,92.61,0.528,1,8,10,9,14,16,1,6,2,19,2,5,21,13,21,12,9,17,4,210,1997-98,1
21,By Year,1996-97,82,42,40,0.512,4115.0,102.0,99.4,2.6,0.634,1.44,17.8,0.294,0.719,0.503,0.169,0.493,0.531,82.21,0.512,1,10,12,11,1,11,4,8,5,14,6,8,17,15,17,7,8,22,7,210,1996-97,0
0,By Year,2017-18,70,40,30,0.571,3415.0,107.5,106.3,1.2,0.625,1.76,19.1,0.198,0.767,0.491,0.145,0.541,0.573,102.53,0.519,15,7,2,4,15,2,12,5,2,3,1,15,3,12,9,1,1,1,2,210,2017-18,0
1,By Year,2016-17,82,34,48,0.415,3981.0,103.3,104.9,-1.6,0.582,1.77,17.2,0.185,0.768,0.475,0.127,0.504,0.539,100.09,0.493,1,11,12,11,2,8,10,8,7,2,5,16,2,16,1,4,5,2,7,210,2016-17,0
2,By Year,2015-16,82,30,52,0.366,3956.0,103.2,107.3,-4.1,0.577,1.65,16.9,0.212,0.788,0.49,0.135,0.498,0.537,98.91,0.472,1,13,14,13,11,9,13,14,9,6,7,14,1,14,3,7,8,3,14,210,2015-16,0
3,By Year,2014-15,82,45,37,0.549,3956.0,105.4,104.7,0.7,0.581,1.66,17.2,0.271,0.751,0.511,0.141,0.501,0.537,93.7,0.508,1,5,6,6,11,4,9,6,8,4,4,7,6,4,5,6,6,6,5,210,2014-15,1
4,By Year,2013-14,82,34,48,0.415,3971.0,104.7,107.3,-2.6,0.563,1.55,16.6,0.269,0.738,0.5,0.145,0.495,0.537,94.51,0.483,1,11,12,11,5,6,14,11,13,9,12,9,10,9,8,8,7,5,12,210,2013-14,0
5,By Year,2012-13,82,27,55,0.329,3956.0,102.7,107.6,-5.0,0.582,1.44,16.8,0.292,0.744,0.514,0.159,0.489,0.528,90.86,0.464,1,14,15,14,11,10,16,15,6,11,10,3,9,2,13,10,10,13,15,210,2012-13,0
6,By Year,2011-12,66,21,45,0.318,3188.0,98.3,102.3,-4.0,0.595,1.34,16.9,0.275,0.731,0.507,0.17,0.476,0.517,90.67,0.482,16,15,10,15,16,15,3,13,5,15,9,6,13,5,16,12,12,14,13,210,2011-12,0
7,By Year,2010-11,82,46,36,0.561,3966.0,103.8,102.5,1.4,0.574,1.58,16.9,0.251,0.762,0.505,0.143,0.493,0.537,90.89,0.507,1,4,5,5,6,7,4,4,11,7,8,11,4,7,7,9,9,12,6,210,2010-11,1
8,By Year,2009-10,82,37,45,0.451,3966.0,105.1,107.3,-2.3,0.575,1.66,17.4,0.248,0.738,0.489,0.141,0.506,0.543,94.83,0.484,1,10,10,10,6,5,15,10,10,5,2,12,11,15,6,3,4,4,11,210,2009-10,0
9,By Year,2008-09,82,49,33,0.598,3951.0,106.2,104.1,2.0,0.553,1.56,16.4,0.246,0.749,0.498,0.139,0.501,0.548,90.04,0.515,1,2,3,2,14,3,7,3,14,8,14,13,7,10,4,5,3,16,4,210,2008-09,1
10,By Year,2007-08,82,56,26,0.683,3961.0,109.0,102.9,6.2,0.564,1.83,17.3,0.27,0.754,0.506,0.128,0.512,0.548,92.12,0.526,1,1,1,1,10,1,5,1,12,1,3,8,5,6,2,2,2,9,1,210,2007-08,1
11,By Year,2006-07,82,39,43,0.476,3976.0,101.9,104.0,-2.2,0.517,1.29,15.0,0.291,0.747,0.514,0.154,0.479,0.52,92.62,0.485,1,8,8,8,4,11,6,9,16,16,16,4,8,3,11,11,11,7,9,210,2006-07,0
12,By Year,2005-06,82,38,44,0.463,3961.0,100.6,104.4,-3.8,0.537,1.39,15.2,0.269,0.734,0.495,0.145,0.464,0.515,91.32,0.484,1,9,9,9,9,12,8,12,15,14,15,10,12,11,10,14,13,11,10,210,2005-06,0
13,By Year,2004-05,82,18,64,0.22,3986.0,95.9,105.1,-9.1,0.634,1.42,16.7,0.291,0.707,0.49,0.161,0.446,0.493,90.39,0.437,1,16,16,16,1,16,11,16,1,12,11,5,16,13,14,16,16,15,16,210,2004-05,0
14,By Year,2003-04,82,41,41,0.5,3966.0,99.1,99.5,-0.3,0.619,1.4,16.5,0.306,0.713,0.504,0.162,0.46,0.505,91.83,0.491,1,6,7,7,6,14,2,7,4,13,13,2,15,8,15,15,15,10,8,210,2003-04,1
15,By Year,2002-03,82,47,35,0.573,3981.0,100.6,98.4,2.3,0.62,1.49,17.1,0.317,0.731,0.522,0.158,0.465,0.511,92.25,0.517,1,3,4,3,2,13,1,2,3,10,6,1,14,1,12,13,14,8,3,210,2002-03,1
0,By Year,2017-18,69,24,45,0.348,3347.0,102.0,108.7,-6.6,0.606,1.73,17.5,0.201,0.807,0.495,0.135,0.501,0.533,100.16,0.46,20,17,16,17,20,10,22,18,12,2,6,22,1,17,1,2,6,1,16,210,2017-18,0
1,By Year,2016-17,82,41,41,0.5,3956.0,104.6,104.5,0.1,0.584,1.66,17.0,0.27,0.768,0.517,0.138,0.487,0.53,97.72,0.504,1,11,12,11,18,5,18,11,20,3,13,14,2,5,2,9,7,3,9,210,2016-17,1
2,By Year,2015-16,82,42,40,0.512,3981.0,102.1,103.9,-1.8,0.591,1.64,17.1,0.245,0.749,0.502,0.14,0.487,0.526,98.25,0.494,1,10,11,10,5,9,16,14,19,6,10,21,5,14,3,10,9,2,14,210,2015-16,0
3,By Year,2014-15,82,50,32,0.61,3976.0,104.7,101.5,3.3,0.593,1.56,16.8,0.27,0.744,0.513,0.145,0.489,0.536,95.35,0.529,1,4,5,5,8,4,12,6,18,9,16,15,8,8,4,7,4,10,6,210,2014-15,1
4,By Year,2013-14,82,48,34,0.585,3986.0,99.7,97.8,1.9,0.654,1.52,17.7,0.272,0.754,0.517,0.159,0.471,0.518,92.72,0.528,1,7,7,7,2,15,6,7,3,10,5,13,4,6,14,15,12,15,7,210,2013-14,1
5,By Year,2012-13,82,45,37,0.549,3966.0,100.4,100.3,0.1,0.645,1.61,17.9,0.294,0.736,0.512,0.154,0.47,0.512,91.97,0.514,1,9,9,9,12,14,10,10,6,7,3,6,11,9,11,16,17,16,8,210,2012-13,1
6,By Year,2011-12,66,50,16,0.758,3188.0,104.5,95.3,9.3,0.619,1.65,17.9,0.326,0.743,0.539,0.152,0.49,0.523,91.79,0.561,21,4,2,2,21,6,1,2,10,5,4,3,10,1,10,6,10,19,2,210,2011-12,1
7,By Year,2010-11,82,62,20,0.756,3966.0,105.5,97.4,8.1,0.601,1.57,17.5,0.294,0.762,0.535,0.151,0.501,0.541,92.91,0.555,1,2,3,3,12,2,4,3,15,8,8,5,3,2,8,3,2,14,4,210,2010-11,1
8,By Year,2009-10,82,41,41,0.5,3981.0,100.8,102.6,-1.8,0.553,1.45,16.1,0.266,0.748,0.51,0.148,0.477,0.52,95.54,0.5,1,11,12,11,6,13,14,13,22,15,21,19,6,10,6,11,11,9,11,210,2009-10,1
9,By Year,2008-09,82,41,41,0.5,3986.0,105.1,105.8,-0.7,0.554,1.45,16.2,0.28,0.709,0.496,0.15,0.493,0.541,95.79,0.499,1,11,12,11,2,3,21,12,21,13,20,11,17,15,7,5,3,6,12,210,2008-09,1
10,By Year,2007-08,82,33,49,0.402,3961.0,101.0,104.2,-3.2,0.606,1.51,16.8,0.289,0.731,0.502,0.152,0.47,0.515,95.73,0.48,1,15,17,15,15,12,17,15,13,11,14,7,12,13,9,17,15,7,15,210,2007-08,0
11,By Year,2006-07,82,49,33,0.598,3956.0,102.5,97.0,5.4,0.601,1.4,17.1,0.286,0.743,0.516,0.166,0.493,0.534,96.04,0.539,1,6,6,6,18,8,3,5,14,17,11,8,9,7,16,4,5,5,5,210,2006-07,1
12,By Year,2005-06,82,41,41,0.5,3981.0,101.3,100.2,1.0,0.601,1.47,17.0,0.263,0.747,0.506,0.155,0.487,0.527,95.68,0.501,1,11,12,11,7,11,9,8,16,12,12,20,7,12,12,8,8,8,10,210,2005-06,1
13,By Year,2004-05,82,47,35,0.573,3966.0,98.5,97.5,1.0,0.612,1.27,16.4,0.284,0.726,0.506,0.174,0.471,0.517,95.11,0.498,1,8,8,8,11,16,5,9,11,21,19,9,13,11,21,14,13,11,13,210,2004-05,1
