,Unnamed: 0,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS,TEAM_ID,TEAM_NAME,EASTERN
41,19,By Year,1998-99,50,19,31,0.38,48.6,36.3,83.3,0.436,5.5,15.2,0.36,14.9,21.5,0.6920000000000001,13.6,29.2,42.8,21.5,16.1,9.1,5.1,5.1,23.9,0.1,93.0,-1.9,22,21,7,19,3,15,9,17,18,20,9,22,17,22,2,18,5,14,17,8,4,14,17,16,20,17,210,1998-99,0,1610612738,BOS,True
42,20,By Year,1997-98,82,36,46,0.439,48.1,36.7,84.6,0.434,5.1,15.2,0.332,17.4,24.0,0.726,14.6,24.9,39.5,22.1,16.2,12.0,4.5,5.0,26.8,0.2,95.9,-2.6,1,14,15,14,19,12,6,19,21,19,20,16,12,21,1,22,18,11,18,1,11,12,21,15,16,19,210,1997-98,0,1610612738,BOS,True
43,21,By Year,1996-97,82,15,67,0.183,50.1,37.4,85.0,0.44,5.7,16.2,0.35100000000000003,20.1,26.8,0.75,13.3,26.7,40.0,21.9,16.4,9.9,3.8,6.8,21.7,0.1,100.6,-7.3,1,22,22,22,1,6,5,15,15,14,13,5,3,16,4,21,15,13,20,2,18,22,10,17,7,22,210,1996-97,0,1610612738,BOS,True
44,0,By Year,2017-18,82,50,32,0.61,48.1,40.4,84.8,0.47600000000000003,12.0,32.1,0.37200000000000005,18.1,23.3,0.779,8.5,33.7,42.1,23.4,13.7,7.1,3.8,4.1,18.6,20.7,110.9,0.9,1,6,7,6,21,1,3,2,2,2,7,13,18,1,22,3,15,2,4,13,21,3,3,6,1,10,210,2017-18,1,1610612739,CLE,True
45,1,By Year,2016-17,82,51,31,0.622,48.5,39.9,84.9,0.47,13.0,33.9,0.384,17.5,23.3,0.748,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,110.3,3.2,1,5,6,5,3,2,1,3,1,1,2,18,17,13,21,1,6,6,3,22,17,4,1,7,2,6,210,2016-17,1,1610612739,CLE,True
46,2,By Year,2015-16,82,57,25,0.695,48.4,38.7,84.0,0.46,10.7,29.6,0.36200000000000004,16.3,21.7,0.748,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,104.3,6.0,1,3,3,3,6,3,5,5,3,3,10,21,21,14,17,2,4,5,2,20,19,8,9,7,3,3,210,2015-16,1,1610612739,CLE,True
47,3,By Year,2014-15,82,53,29,0.6459999999999999,48.2,37.7,82.2,0.45799999999999996,10.1,27.5,0.36700000000000005,17.7,23.6,0.7509999999999999,11.1,31.9,43.0,22.1,14.3,7.4,4.1,4.5,18.4,20.5,103.1,4.5,1,4,5,4,16,5,8,6,4,4,9,17,16,9,14,7,8,9,12,10,14,9,2,9,4,4,210,2014-15,1,1610612739,CLE,True
48,4,By Year,2013-14,82,33,49,0.402,48.6,37.0,84.8,0.43700000000000006,7.1,20.0,0.35600000000000004,17.0,22.7,0.7509999999999999,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20.0,19.5,98.2,-3.3,1,14,16,15,2,6,2,17,7,6,12,19,19,10,10,5,5,12,10,14,22,15,6,13,7,15,210,2013-14,0,1610612739,CLE,True
49,5,By Year,2012-13,82,24,58,0.293,48.1,36.5,84.2,0.434,6.7,19.3,0.34600000000000003,16.8,22.3,0.7559999999999999,12.2,28.8,41.0,20.7,14.0,7.9,4.1,6.8,21.2,19.7,96.5,-4.7,1,18,20,20,22,8,4,19,9,9,14,20,20,6,9,18,18,18,9,6,15,22,13,12,12,19,210,2012-13,0,1610612739,CLE,True
50,6,By Year,2011-12,66,21,45,0.318,48.4,34.3,81.2,0.42200000000000004,6.7,19.3,0.34600000000000003,17.8,24.9,0.716,12.7,29.5,42.3,19.8,15.4,7.1,4.0,6.2,20.0,20.9,93.0,-7.2,21,20,14,19,11,20,12,22,10,8,15,16,10,21,5,17,13,21,17,16,18,20,5,4,16,20,210,2011-12,0,1610612739,CLE,True
