,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,PLAYOFFS
21,By Year,1996-97,82,22,60,0.268,49.7,36.6,83.5,0.438,5.3,16.5,0.319,21.7,29.9,0.725,15.5,28.7,44.2,20.7,17.5,8.3,4.8,6.0,19.9,0.1,100.2,-6.5,1,19,19,19,1,9,7,15,11,9,15,1,1,16,1,18,4,13,21,12,13,18,5,17,3,19,210,1996-97,0
0,By Year,2017-18,71,19,52,0.268,48.1,38.5,87.2,0.441,9.3,27.5,0.338,18.2,24.4,0.746,10.5,33.6,44.1,21.1,15.7,6.8,4.5,5.9,22.6,21.5,104.4,-9.5,20,22,18,22,20,11,3,20,5,1,18,9,7,19,18,1,4,16,20,16,18,22,17,5,10,22,210,2017-18,0
1,By Year,2016-17,82,24,58,0.293,48.4,39.9,88.5,0.45,7.5,22.6,0.332,20.4,26.3,0.776,11.9,33.1,45.0,19.6,15.4,8.2,4.9,5.3,24.8,22.2,107.7,-5.6,1,20,21,20,7,7,1,14,11,9,19,1,2,4,6,3,1,20,17,8,13,18,22,2,7,19,210,2016-17,0
2,By Year,2015-16,82,23,59,0.28,48.1,37.2,85.6,0.435,9.0,25.8,0.348,17.5,23.2,0.751,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,100.9,-6.7,1,21,22,21,21,18,5,22,6,2,13,15,15,15,10,2,2,18,22,13,22,19,18,4,13,21,210,2015-16,0
3,By Year,2014-15,82,39,43,0.476,48.5,38.8,85.8,0.452,8.5,25.0,0.341,16.4,21.5,0.76,10.9,32.2,43.2,20.2,15.1,8.5,4.7,4.1,21.3,20.3,102.4,-0.9,1,14,16,16,6,9,4,13,9,5,17,18,18,9,16,7,6,19,13,6,15,7,12,10,12,17,210,2014-15,0
4,By Year,2013-14,82,48,34,0.585,48.2,38.7,83.5,0.463,9.3,25.1,0.372,18.5,24.4,0.758,11.3,31.7,43.0,19.1,15.3,8.4,4.6,4.0,21.9,21.3,105.2,2.6,1,9,11,9,16,10,10,10,4,4,8,7,6,12,11,9,7,22,16,7,17,5,15,7,8,8,210,2013-14,0
5,By Year,2012-13,82,25,57,0.305,48.3,37.3,84.4,0.443,5.9,17.7,0.33,14.7,19.7,0.744,11.7,29.9,41.6,22.6,15.6,8.0,5.3,5.1,20.6,18.4,95.2,-6.5,1,19,20,19,9,17,8,19,15,13,20,21,21,21,9,16,16,13,18,12,4,15,9,13,19,20,210,2012-13,0
6,By Year,2011-12,66,33,33,0.5,48.0,37.8,82.5,0.458,6.7,19.6,0.343,16.0,21.2,0.757,10.9,30.8,41.7,22.5,14.1,6.5,5.5,4.4,18.7,19.6,98.4,-0.2,21,16,10,13,22,14,16,11,13,12,16,19,19,13,17,13,15,14,4,20,2,10,1,12,16,14,210,2011-12,0
7,By Year,2010-11,82,40,42,0.488,48.8,39.3,83.5,0.47,8.5,22.6,0.377,18.0,23.6,0.759,10.0,30.2,40.2,23.7,14.3,6.6,4.4,4.3,20.3,21.2,105.0,-0.9,1,12,14,14,2,8,11,7,8,8,7,12,12,10,19,15,21,8,5,19,19,9,6,8,9,16,210,2010-11,0
8,By Year,2009-10,82,54,28,0.659,48.1,40.7,82.8,0.492,8.9,21.6,0.412,19.9,25.8,0.77,11.1,31.9,43.0,23.3,14.8,5.8,5.1,4.5,20.9,21.8,110.2,4.9,1,5,6,5,18,6,12,4,7,10,1,3,4,5,14,8,8,10,11,22,9,11,11,3,2,7,210,2009-10,1
9,By Year,2008-09,82,46,36,0.561,48.2,41.1,81.6,0.504,6.7,17.6,0.383,20.4,27.5,0.744,11.0,30.7,41.7,23.2,15.7,7.2,5.1,4.5,20.6,22.9,109.4,1.9,1,10,12,10,16,4,20,1,12,14,6,2,1,20,15,14,14,11,19,14,8,12,10,1,5,11,210,2008-09,0
10,By Year,2007-08,82,55,27,0.671,48.2,41.4,82.7,0.5,8.5,21.5,0.393,18.9,24.1,0.783,8.8,32.7,41.5,26.7,14.4,6.5,6.3,3.8,19.9,21.1,110.1,5.0,1,4,5,4,13,2,13,2,10,11,4,6,9,3,22,4,17,1,7,21,1,3,3,9,4,6,210,2007-08,1
11,By Year,2006-07,82,61,21,0.744,48.5,41.3,83.6,0.494,9.6,24.0,0.399,18.0,22.3,0.808,9.0,31.5,40.5,25.9,14.5,6.7,4.8,3.7,20.2,21.5,110.2,7.3,1,2,2,2,5,3,9,3,3,7,2,11,17,1,21,10,19,4,8,17,14,2,5,6,3,1,210,2006-07,1
12,By Year,2005-06,82,54,28,0.659,48.7,41.8,87.4,0.479,10.2,25.6,0.399,14.5,18.0,0.806,9.5,32.3,41.8,26.6,13.3,6.7,5.0,3.4,20.5,19.8,108.4,5.5,1,5,6,5,4,1,2,5,1,3,3,22,22,2,20,6,13,2,1,18,10,1,8,11,6,3,210,2005-06,1
13,By Year,2004-05,82,62,20,0.756,48.2,40.9,85.6,0.477,9.7,24.7,0.393,19.0,25.4,0.748,11.8,32.3,44.1,23.5,13.7,7.0,5.5,4.2,19.1,0.0,110.4,7.1,1,1,1,1,13,5,5,6,2,6,5,5,5,17,8,5,3,9,3,15,3,8,2,21,1,2,210,2004-05,1
14,By Year,2003-04,82,29,53,0.354,48.1,36.1,81.4,0.443,5.1,14.7,0.345,17.0,22.7,0.746,11.3,29.3,40.6,19.3,15.2,9.0,4.7,5.3,22.7,0.0,94.2,-3.7,1,17,19,18,18,20,21,18,19,18,14,17,16,18,12,20,18,21,14,4,16,17,19,20,21,18,210,2003-04,0
15,By Year,2002-03,82,44,38,0.537,48.3,36.6,82.6,0.443,4.8,14.0,0.343,17.4,23.5,0.742,12.8,29.8,42.5,21.0,14.7,8.1,4.9,5.5,22.0,0.1,95.5,1.1,1,11,13,12,9,19,14,17,20,20,15,16,14,22,2,18,11,17,10,10,11,20,16,19,18,12,210,2002-03,1
16,By Year,2001-02,82,36,46,0.439,48.4,37.8,84.6,0.447,4.4,13.4,0.327,15.2,19.9,0.767,13.1,29.6,42.7,22.4,14.7,8.1,4.9,5.8,21.8,0.1,95.1,-0.7,1,15,17,17,8,15,7,16,21,21,21,20,20,6,1,19,9,15,9,9,12,21,14,17,20,15,210,2001-02,0
17,By Year,2000-01,82,51,31,0.622,48.3,35.9,82.4,0.436,4.0,12.9,0.315,18.2,24.1,0.755,11.8,30.8,42.7,23.2,15.3,9.5,5.2,5.1,22.7,0.0,94.0,2.2,1,8,9,8,9,22,17,21,22,22,22,10,10,14,7,12,10,11,15,1,6,14,20,21,22,10,210,2000-01,1
18,By Year,1999-00,82,53,29,0.646,48.3,37.7,82.6,0.457,5.6,15.2,0.368,17.9,23.6,0.759,12.5,31.2,43.7,25.6,16.7,9.1,5.3,5.2,24.1,2.7,98.9,5.2,1,7,8,7,9,16,15,12,16,16,11,13,13,11,3,11,5,5,21,3,5,16,21,14,15,4,210,1999-00,1
19,By Year,1998-99,50,27,23,0.54,48.2,35.9,80.1,0.449,5.2,14.0,0.372,18.5,24.3,0.76,12.0,28.4,40.3,25.0,13.6,8.9,4.0,4.1,20.4,0.1,95.6,2.3,22,18,3,11,15,21,22,15,18,19,9,8,8,8,5,22,20,7,2,5,20,6,7,16,17,9,210,1998-99,1
20,By Year,1997-98,82,56,26,0.683,48.7,38.3,81.8,0.468,5.3,14.8,0.356,17.8,23.8,0.749,12.1,29.9,42.0,25.9,15.1,9.2,5.2,3.9,21.5,0.2,99.6,5.2,1,3,4,3,3,13,18,9,17,17,12,14,11,16,4,17,12,3,12,2,6,4,13,15,14,5,210,1997-98,1
21,By Year,1996-97,82,40,42,0.488,49.9,38.3,81.8,0.469,6.4,17.4,0.369,19.7,25.9,0.761,11.2,29.0,40.1,25.2,14.4,8.1,3.9,4.5,19.9,0.1,102.8,0.7,1,12,14,14,1,12,19,8,14,15,10,4,3,7,13,21,22,6,6,11,21,13,4,17,11,13,210,1996-97,1
0,By Year,2017-18,70,44,26,0.629,48.2,39.2,86.6,0.453,10.5,27.7,0.38,17.1,21.3,0.802,10.0,35.4,45.4,19.4,13.7,6.8,5.1,5.1,19.4,19.2,106.0,3.0,20,12,3,5,20,2,2,8,2,3,2,18,19,3,22,1,4,20,8,14,8,18,7,11,3,9,210,2017-18,0
1,By Year,2016-17,82,41,41,0.5,48.6,39.5,86.1,0.459,10.4,27.7,0.375,18.5,23.7,0.78,10.1,33.5,43.7,21.1,13.7,7.0,5.0,5.3,21.2,19.8,107.9,-0.5,1,14,16,15,5,1,3,7,3,2,4,9,11,7,21,5,7,13,7,12,9,21,14,8,1,15,210,2016-17,1
2,By Year,2015-16,82,44,38,0.537,48.3,38.6,85.9,0.45,10.5,28.5,0.37,17.4,23.0,0.754,11.6,33.9,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5,105.1,0.8,1,12,14,14,16,5,5,13,1,1,6,14,15,15,13,4,3,11,11,13,14,19,17,10,4,14,210,2015-16,1
3,By Year,2014-15,82,51,31,0.622,48.4,38.7,86.0,0.45,9.8,27.2,0.362,15.5,19.4,0.801,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,102.8,4.2,1,4,6,6,7,4,4,11,4,4,9,21,22,4,19,2,2,6,5,19,16,1,1,13,5,4,210,2014-15,1
4,By Year,2013-14,82,54,28,0.659,48.4,39.1,87.0,0.45,9.4,25.3,0.372,19.1,23.5,0.815,12.5,34.0,46.4,23.2,13.7,5.5,4.7,3.7,19.2,20.7,106.7,4.0,1,2,4,3,7,3,1,15,5,5,5,5,12,1,7,3,1,4,6,22,13,3,5,6,2,7,210,2013-14,1
5,By Year,2012-13,82,33,49,0.402,48.4,36.7,81.9,0.448,8.2,23.2,0.353,15.9,20.5,0.776,10.7,30.2,40.8,21.8,14.7,6.6,4.3,4.4,18.5,18.7,97.5,-3.2,1,18,19,19,10,8,7,18,6,6,14,20,21,8,20,11,16,7,12,17,20,9,2,12,9,19,210,2012-13,0
6,By Year,2011-12,66,28,38,0.424,48.4,36.4,82.1,0.443,7.2,20.9,0.346,17.2,21.6,0.796,11.1,29.5,40.7,20.4,14.2,8.0,4.9,4.8,19.0,19.8,97.2,-0.6,21,20,14,18,12,13,6,21,8,7,17,17,18,5,15,14,18,17,9,6,11,12,4,9,11,16,210,2011-12,0
7,By Year,2010-11,82,48,34,0.585,48.3,36.0,80.5,0.447,6.3,18.3,0.345,18.0,22.4,0.804,12.1,27.2,39.3,21.2,13.0,8.0,4.4,4.1,19.3,21.3,96.3,1.5,1,10,12,12,16,15,9,19,10,9,20,10,17,2,8,21,20,12,4,5,19,7,6,3,13,12,210,2010-11,1
8,By Year,2009-10,82,50,32,0.61,48.4,36.3,78.7,0.461,6.0,16.9,0.354,19.6,24.8,0.79,11.1,29.1,40.2,20.4,12.3,6.4,4.3,4.1,20.9,21.5,98.1,3.3,1,5,7,7,7,14,16,5,12,12,12,4,4,6,16,16,19,18,1,20,21,6,13,1,8,8,210,2009-10,1
9,By Year,2008-09,82,54,28,0.659,48.4,36.8,79.2,0.465,7.3,19.0,0.383,18.5,24.2,0.765,12.9,28.8,41.7,20.3,12.9,6.7,4.9,3.9,20.4,21.1,99.4,5.3,1,2,4,3,13,7,11,3,7,8,1,8,7,11,3,19,12,19,2,16,10,4,11,4,6,3,210,2008-09,1
10,By Year,2007-08,82,41,41,0.5,48.5,35.8,79.8,0.448,6.6,17.4,0.377,17.2,22.5,0.767,11.0,29.7,40.7,21.1,12.9,5.5,4.4,3.7,20.0,20.2,95.4,-1.0,1,14,16,15,6,16,10,16,9,10,3,15,16,10,17,13,17,13,3,21,18,2,10,7,15,17,210,2007-08,0
11,By Year,2006-07,82,32,50,0.39,48.7,35.0,78.0,0.45,5.2,15.0,0.346,18.8,24.5,0.769,11.3,28.0,39.3,18.5,15.1,6.8,4.6,4.6,23.5,21.3,94.1,-4.3,1,19,20,20,4,20,21,14,14,14,18,6,6,9,14,20,21,21,15,15,14,10,22,2,19,21,210,2006-07,0
12,By Year,2005-06,82,21,61,0.256,48.1,34.0,76.4,0.445,4.4,12.7,0.349,16.3,23.7,0.689,10.8,26.9,37.7,18.2,14.7,6.5,5.3,4.9,22.3,20.8,88.8,-9.5,1,22,22,22,21,22,22,20,21,22,15,19,9,22,18,22,22,22,13,18,5,15,18,5,22,22,210,2005-06,0
13,By Year,2004-05,82,27,55,0.329,48.1,35.3,78.3,0.451,5.1,14.2,0.362,17.2,23.7,0.725,11.8,29.3,41.1,21.0,16.0,7.1,6.6,5.0,20.8,0.0,92.9,-4.0,1,21,21,21,21,18,18,10,15,15,8,16,9,20,10,15,14,15,20,11,1,17,12,21,20,20,210,2004-05,0
